Stage,Cross-sectional Area,Hydraulic Radius,Top Width,Wetted Perimeter
-34.17999999999847,432.66482801000427,3.7202192069365903,115.26289926292054,116.30089624914376
-34.07999999999845,444.2603243245051,3.7744641663289507,116.64702702704858,117.7015610023908
-33.97999999999843,455.9942334154189,3.8285953979649614,118.03115479117662,119.10222575563783
-33.879999999998404,467.866555282746,3.882616867586666,119.41528255530477,120.50289050888497
-33.77999999999838,479.8772899264854,3.936532358671527,120.79941031943281,121.90355526213202
-33.67999999999836,492.0264373466381,3.9903454827845306,122.18353808356096,123.30422001537914
-33.579999999998336,504.3139975432033,4.044059689232646,123.567665847689,124.70488476862619
-33.47999999999831,516.7399705161812,4.097678274075891,124.95179361181704,126.10554952187321
-33.37999999999829,529.3043562655724,4.15120438854448,126.33592137594519,127.50621427512034
-33.27999999999827,542.0071547913761,4.204641046907213,127.72004914007323,128.9068790283674
